Category,Old Attribute,New Attribute
All Services,now,Timestamp
All Services,msg or message,Body
All Services,All Services,SeverityText
Discussions,action_name,code.function
Discussions,actor_id,actor_id
Discussions,old_org,gh.org.old_name
Discussions,new_org,gh.org.login
Discussions,new_path,gh.controller.new_path
Discussions,issue_id,gh.issue.id
Discussions,issue_number,gh.issue.number
Discussions,issue_comments_count,gh.issue.comments.count
Discussions,discussion,gh.discussion.id
Discussions,discussion_number,gh.discussion.number
Discussions,discussion_cached_comments_count,gh.discussion.cached_comments.count
Discussions,discussion_live_comments_count,gh.discussion.live_comments.count
Discussions,discussion_converted_at,gh.discussion.converted_at
Discussions,discussion_state,gh.discussion.state
Discussions,discussion_error_reason,gh.discussion.error_reason
Discussions,discussion_reaction_count,gh.discussion.reaction.count
Discussions,team_id,gh.team_post.team_id
Discussions,team_post_id,gh.team_post.id
Discussions,team_post_number,gh.team_post.number
Stratocaster,stratocaster_name,gh.stratocaster.adapter_name
Stratocaster,stratocaster_event_type,gh.stratocaster.event_type
Stratocaster,stratocaster_event_id,gh.stratocaster.event.id
Stratocaster,stratocaster_event_action,gh.stratocaster.event.action
Stratocaster,stratocaster_event_actor_id,gh.stratocaster.event.actor_id
Stratocaster,stratocaster_event_sender_id,gh.stratocaster.event.sender_id
Stratocaster,stratocaster_event_repo_id,gh.stratocaster.event.repo_id
Stratocaster,stratocaster_processor_indexes_count,gh.stratocaster.processor.indexes.count
Stratocaster,stratocaster_processor_received_batch_size,gh.stratocaster.processor.received_batch_size
Stratocaster,stratocaster_processor_index,gh.stratocaster.processor.index
Stratocaster,stratocaster_processor_index_updates,gh.stratocaster.processor.index_updates
Stratocaster,stratocaster_processor_updates,gh.stratocaster.processor.updates
Stratocaster,stratocaster_processor_update_differences,gh.stratocaster.processor.update_differences
Stratocaster,stratocaster_keys,gh.stratocaster.keys
Stratocaster,stratocaster_event_time,gh.stratocaster.event_time
Stratocaster,stratocaster_timeline_processor_group_id,gh.stratocaster.timeline_processor.group.id
Stratocaster,stratocaster_timeline_processor_subscribe_to,gh.stratocaster.timeline_processor.subscribe_to
Audit Log,org_id,gh.org.id
Audit Log,org_name,gh.org.name
Audit Log,busines_id,gh.business.id
Audit Log,busines_name,gh.business.name
Profile,actor,gh.actor.login
Profile,notes,gh.rename.notes
