Category,Old Attribute,New Attribute
API,reason,gh.api.error_reason
API,resource,gh.api.resource_type
API,graphql,gh.api.graphql
API,graphql_time,graphql.time
API,graphql_query_byte_size,graphql.query.byte_size
API,graphql_variables_byte_size,graphql.variables.byte_size
API,graphql_operation_name,graphql.operation.name
API,graphql_origin,graphql.origin
API,graphql_success,graphql.success
API,graphql_query_depth,graphql.query.depth
API,graphql_query_complexity,graphql.query.complexity
API,graphql_schema,graphql.schema
API,graphql_query_hash,graphql.query.hash
API,graphql_variables_hash,graphql.variables.hash
API,graphql_query_name,graphql.query.name
API,graphql_operation_id,graphql.operation.id
Repos,rename_id,gh.branch_protection_rule.repository_branch_renamer.id
Repos,end_date,gh.repo.purge.end_date
Repos,deleted_count,gh.repo.mirror.deleted_count
CodeScanning,pull_request_id,gh.pull_request.id
CodeScanning,pull_request_number,gh.pull_request.number
CodeScanning,pull_request_head,gh.pull_request.head_sha
CodeScanning,alerts_count,gh.code_scanning.alert.count
CodeScanning,file_path,gh.code_scanning.alert.file_path
CodeScanning,alert_number,gh.code_scanning.alert.number
CodeScanning,category,gh.code_scanning.analysis.category
CodeScanning,check_run_id,gh.check_run.id
CodeScanning,alerts_in_the_diff,gh.code_scanning.diff.alerts.in
CodeScanning,alerts_out_the_diff,gh.code_scanning.diff.alerts.out
CodeScanning,onboarding_comment_posted,gh.code_scanning.onboarding_comment.posted
CodeScanning,onboarding_comments_count,gh.code_scanning.onboarding_comments.count
CodeScanning,tool_name,gh.code_scanning.tool
CodeScanning,code_scanning_review_comment,gh.code_scanning.review_comment.id
CodeScanning,head_commit_oid,gh.pull_request.head_sha
CodeScanning,merge_commit_oid,gh.pull_request.merge_sha
CodeScanning,checkrun_previously_completed,gh.check_run.previously_completed
CodeScanning,job_reason,gh.code_scanning.job.reason
CodeScanning,time_in_secs,gh.code_scanning.job.time
CodeScanning,code_scanning_check_suite,gh.check_suite.id
CodeScanning,base_ref_name,gh.pull_request.base_ref.name
CodeScanning,pull_request_old,gh.pull_request.id.old
CodeScanning,pull_request_new,gh.pull_request.id.new
CodeScanning,repo_nwo,gh.repo.nwo
CodeScanning,skip_check_runs,gh.code_scanning.skip_check_runs
CodeScanning,refs,git.refs
CodeScanning,ref,git.ref
CodeScanning,commit_oid,git.commit.oid
CodeScanning,sarif_size,gh.code_scanning.sarif.size
CodeScanning,sarif_id,gh.code_scanning.sarif.id
CodeScanning,sarif_uri,gh.code_scanning.sarif.uri
CodeScanning,old_base_ref,gh.pull_request.base_ref.old
CodeScanning,new_base_ref,gh.pull_request.base_ref.new
CodeScanning,replication_lag,gh.freno.replication_delay
CodeScanning,key,gh.kv.key
External Identities,external_id,gh.external_identities.external_id
External Identities,oid,gh.external_identities.oid
External Identities,refresh_token,gh.external_identities.refresh_token
External Identities,email,gh.external_identities.email
External Identities,type,gh.external_identities.type
External Identities,key,gh.external_identities.cache_key
External Identities,body,gh.external_identities.cache_body
External Identities,expires,gh.external_identities.cache_expires
External Identities,cap_message,gh.external_identities.cap_message
External Identities,token_url,gh.external_identities.token_url
External Identities,credential_auth_org_id,gh.external_identities.credential_auth_org_id
External Identities,credential_auth_exists_for_target_org,gh.external_identities.credential_auth_exists_for_target_org
External Identities,resource_type,gh.external_identities.resource_type
External Identities,can_self_identify_internal_or_public,gh.external_identities.can_self_identify_internal_or_public
